competition,season_label,player_name,innings,total_runs,avg_runs,strike_rate,batting_index
BPL,2024-25,Akbar Ali,9,142,15.78,115.45,1821.5
BPL,2024-25,Mohammad Nawaz,6,78,13.0,134.48,1748.28
BPL,2024-25,Ariful Haque,9,106,11.78,112.77,1328.13
BPL,2024-25,Mohammad Nabi,6,67,11.17,115.52,1289.94
BPL,2024-25,Steven Taylor,7,84,12.0,101.2,1214.46
BPL,2024-25,Mahedi Hasan,9,92,10.22,117.95,1205.7
BPL,2024-25,Khaled Ahmed,7,56,8.0,140.0,1120.0
BPL,2024-25,Alex Ross,7,86,12.29,89.58,1100.6
BPL,2024-25,Litton Das,7,9,1.29,180.0,231.43
BPL,2024-25,Tanzid Hasan,8,15,1.88,115.38,216.35
BPL,2024-25,Tanzim Hasan Sakib,6,19,3.17,61.29,194.09
BPL,2024-25,Shoriful Islam,8,16,2.0,72.73,145.45
BPL,2024-25,Ruyel Miah,6,7,1.17,41.18,48.04
CPL,2025,Tim Seifert,10,396,39.6,169.23,6701.54
CPL,2025,Kieron Pollard,11,383,34.82,174.09,6061.53
CPL,2025,Shai Hope,12,491,40.92,127.2,5204.68
CPL,2025,Colin Munro,13,416,32.0,162.5,5200.0
CPL,2025,Brandon King,7,262,37.43,136.46,5107.44
CPL,2025,Rovman Powell,9,241,26.78,183.97,4926.29
CPL,2025,Mohammad Rizwan,6,227,37.83,127.53,4824.81
CPL,2025,Jason Holder,10,267,26.7,167.92,4483.58
CPL,2025,Nicholas Pooran,13,426,32.77,133.13,4362.4
CPL,2025,Quentin Sampson,9,241,26.78,151.57,4058.77
CPL,2025,Andre Fletcher,10,310,31.0,129.17,4004.17
CPL,2025,Roston Chase,10,270,27.0,144.39,3898.4
CPL,2025,Alex Hales,13,386,29.69,127.81,3795.11
CPL,2025,Ackeem Auguste,10,229,22.9,161.27,3693.03
CPL,2025,Tim David,10,212,21.2,153.62,3256.81
CPL,2025,Ben McDermott,11,251,22.82,141.01,3217.62
CPL,2025,Johnson Charles,10,212,21.2,144.22,3057.41
CPL,2025,Romario Shepherd,12,197,16.42,177.48,2913.59
CPL,2025,Kadeem Alleyne,8,191,23.88,120.13,2868.0
CPL,2025,Dwaine Pretorius,10,196,19.6,146.27,2866.87
CPL,2025,Karima Gore,10,219,21.9,129.59,2837.93
CPL,2025,Sherfane Rutherford,9,189,21.0,135.0,2835.0
CPL,2025,Quinton de Kock,9,208,23.11,118.86,2746.92
CPL,2025,Fabian Allen,9,152,16.89,160.0,2702.22
CPL,2025,Shimron Hetmyer,12,210,17.5,153.28,2682.48
CPL,2025,Jewel Andrew,7,156,22.29,113.04,2519.25
CPL,2025,Shakib Al Hasan,10,180,18.0,138.46,2492.31
CPL,2025,Evin Lewis,7,130,18.57,127.45,2366.95
CPL,2025,Navian Bidaisee,6,117,19.5,120.62,2352.06
CPL,2025,Kyle Mayers,10,167,16.7,128.46,2145.31
CPL,2025,Imad Wasim,8,137,17.13,115.13,1971.53
CPL,2025,Rassie van der Dussen,6,113,18.83,101.8,1917.27
CPL,2025,Chris Green,6,65,10.83,175.68,1903.15
CPL,2025,Keacy Carty,9,159,17.67,107.43,1897.97
CPL,2025,Andre Russell,8,89,11.13,153.45,1707.11
CPL,2025,Rilee Rossouw,7,91,13.0,105.81,1375.58
CPL,2025,Akeal Hosein,7,44,6.29,183.33,1152.38
CPL,2025,Rahkeem Cornwall,7,54,7.71,114.89,886.32
CPL,2025,David Wiese,6,47,7.83,102.17,800.36
CPL,2025,Moeen Ali,11,94,8.55,89.52,765.02
CPL,2025,Hassan Khan,7,45,6.43,104.65,672.76
CPL,2025,Gudakesh Motie,7,17,2.43,77.27,187.66
IPL,2025,Sai Sudharsan,14,738,52.71,157.02,8277.26
IPL,2025,Suryakumar Yadav,16,717,44.81,167.92,7524.72
IPL,2025,Mitchell Marsh,12,552,46.0,161.88,7446.33
IPL,2025,Vaibhav Suryavanshi,7,252,36.0,206.56,7436.07
IPL,2025,Abhishek Sharma,12,433,36.08,195.93,7069.72
IPL,2025,Jos Buttler,12,505,42.08,161.86,6811.57
IPL,2025,Shubman Gill,14,615,43.93,154.91,6805.06
IPL,2025,Dewald Brevis,6,225,37.5,180.0,6750.0
IPL,2025,Heinrich Klaasen,12,461,38.42,173.96,6683.05
IPL,2025,Ayush Mhatre,7,240,34.29,188.98,6479.19
IPL,2025,Yashasvi Jaiswal,14,559,39.93,159.71,6377.16
IPL,2025,Virat Kohli,15,657,43.8,144.71,6338.46
IPL,2025,Nicholas Pooran,13,431,33.15,187.39,6212.74
IPL,2025,KL Rahul,13,539,41.46,149.72,6207.71
IPL,2025,Shreyas Iyer,18,604,33.56,175.07,5874.65
IPL,2025,Aiden Markram,12,444,37.0,150.51,5568.81
IPL,2025,Priyansh Arya,18,545,30.28,182.27,5518.86
IPL,2025,Philip Salt,13,403,31.0,175.98,5455.46
IPL,2025,Prabhsimran Singh,18,599,33.28,161.89,5387.4
IPL,2025,Ayush Badoni,10,323,32.3,149.54,4830.05
IPL,2025,Travis Head,11,327,29.73,161.88,4812.29
IPL,2025,Ajinkya Rahane,12,390,32.5,147.73,4801.14
IPL,2025,Riyan Parag,14,393,28.07,166.53,4674.61
IPL,2025,Ishan Kishan,12,354,29.5,153.25,4520.78
IPL,2025,Sanju Samson,9,285,31.67,140.39,4445.81
IPL,2025,Karun Nair,8,198,24.75,172.17,4261.3
IPL,2025,Jitesh Sharma,11,261,23.73,176.35,4184.34
IPL,2025,Ryan Rickelton,14,388,27.71,150.97,4184.1
IPL,2025,Rohit Sharma,15,418,27.87,149.29,4160.1
IPL,2025,Josh Inglis,11,278,25.27,162.57,4108.67
IPL,2025,Dhruv Jurel,13,333,25.62,156.34,4004.66
IPL,2025,Sherfane Rutherford,10,253,25.3,155.21,3926.93
IPL,2025,Tim David,9,187,20.78,185.15,3846.97
IPL,2025,Shashank Singh,14,350,25.0,153.51,3837.72
IPL,2025,Naman Dhir,12,252,21.0,182.61,3834.78
IPL,2025,Angkrish Raghuvanshi,11,300,27.27,139.53,3805.5
IPL,2025,Axar Patel,11,263,23.91,157.49,3765.32
IPL,2025,Devdutt Padikkal,10,247,24.7,150.61,3720.06
IPL,2025,Tilak Varma,13,343,26.38,138.31,3649.16
IPL,2025,Ashutosh Sharma,9,204,22.67,160.63,3640.94
IPL,2025,Nehal Wadhera,15,369,24.6,145.85,3587.91
IPL,2025,Sunil Narine,12,246,20.5,170.83,3502.08
IPL,2025,Tristan Stubbs,13,300,23.08,150.75,3478.93
IPL,2025,Devon Conway,6,156,26.0,131.09,3408.4
IPL,2025,Abishek Porel,13,301,23.15,146.83,3399.66
IPL,2025,Shivam Dube,14,357,25.5,132.22,3371.67
IPL,2025,Rajat Patidar,14,312,22.29,143.78,3204.21
IPL,2025,Nitish Rana,11,217,19.73,161.94,3194.64
IPL,2025,Vipraj Nigam,8,142,17.75,179.75,3190.51
IPL,2025,Rachin Ravindra,8,191,23.88,128.19,3060.49
IPL,2025,Hardik Pandya,12,224,18.67,163.5,3052.07
IPL,2025,Ravindra Jadeja,14,301,21.5,135.59,2915.09
IPL,2025,Rinku Singh,11,206,18.73,153.73,2878.97
IPL,2025,Will Jacks,11,233,21.18,135.47,2869.4
IPL,2025,Rishabh Pant,11,238,21.64,131.49,2845.0
IPL,2025,Venkatesh Iyer,7,142,20.29,139.22,2824.09
IPL,2025,Aniket Verma,11,200,18.18,155.04,2818.89
IPL,2025,Faf du Plessis,9,202,22.44,123.93,2781.46
IPL,2025,Andre Russell,10,167,16.7,163.73,2734.22
IPL,2025,Marcus Stoinis,11,160,14.55,186.05,2706.13
IPL,2025,Shimron Hetmyer,13,239,18.38,145.73,2679.22
IPL,2025,Quinton de Kock,8,152,19.0,129.91,2468.38
IPL,2025,Abdul Samad,11,142,12.91,167.06,2156.58
IPL,2025,Shubham Dubey,8,106,13.25,160.61,2128.03
IPL,2025,Shahrukh Khan,10,122,12.2,171.83,2096.34
IPL,2025,MS Dhoni,13,196,15.08,135.17,2037.98
IPL,2025,Krunal Pandya,7,109,15.57,126.74,1973.59
IPL,2025,Liam Livingstone,8,112,14.0,133.33,1866.67
IPL,2025,Nitish Kumar Reddy,10,150,15.0,120.0,1800.0
IPL,2025,David Miller,10,140,14.0,123.89,1734.51
IPL,2025,Rahul Tewatia,11,97,8.82,173.21,1527.44
IPL,2025,Pat Cummins,8,79,9.88,146.3,1444.68
IPL,2025,Jofra Archer,7,63,9.0,126.0,1134.0
IPL,2025,Marco Jansen,8,75,9.38,119.05,1116.07
IPL,2025,Jake Fraser-McGurk,6,55,9.17,105.77,969.55
IPL,2025,Ramandeep Singh ,7,47,6.71,134.29,901.63
IPL,2025,Harshit Rana,7,57,8.14,107.55,875.74
IPL,2025,Glenn Maxwell,6,48,8.0,97.96,783.67
IPL,2025,Rashid Khan,7,36,5.14,150.0,771.43
IPL,2025,Mitchell Santner,8,40,5.0,121.21,606.06
