player_name,competition,season_label,innings,total_runs,avg_runs,strike_rate,batting_index,role
Rahmanullah Gurbaz,LPL,2024,9,202,22.44,142.25,3192.8,Balanced
Alex Hales,LPL,2024,8,202,25.25,122.42,3091.21,Balanced
Mark Chapman,LPL,2024,8,185,23.13,130.28,3012.76,Balanced
Pathum Nissanka,LPL,2024,10,213,21.3,137.42,2927.03,Balanced
Charith Asalanka,LPL,2024,8,144,18.0,148.45,2672.16,Balanced
Angelo Perera,LPL,2024,6,102,17.0,137.84,2343.24,Balanced
Sadeera Samarawickrama,LPL,2024,6,110,18.33,118.28,2168.46,Balanced
Janith Liyanage,LPL,2024,8,125,15.63,131.58,2055.92,Balanced
Sahan Arachchige,LPL,2024,7,96,13.71,106.67,1462.86,Balanced
Dwaine Pretorius,LPL,2024,7,46,6.57,106.98,702.99,Balanced
Dinesh Chandimal,LPL,2024,6,32,5.33,100.0,533.33,Balanced
Fabian Allen,LPL,2024,6,22,3.67,137.5,504.17,Balanced
Andre Fletcher,LPL,2024,6,119,19.83,175.0,3470.83,Explosive Finisher
Bhanuka Rajapaksa,LPL,2024,8,174,21.75,165.71,3604.29,Power Hitter
Niroshan Dickwella,LPL,2024,8,147,18.38,159.78,2936.01,Power Hitter
Usman Khan,PSL,2024,7,430,61.43,164.12,10081.79,Aggressive Top Order
Rassie van der Dussen,PSL,2024,7,364,52.0,154.89,8054.47,Aggressive Top Order
Saim Ayub,PSL,2024,11,345,31.36,157.53,4940.85,Aggressive Top Order
Babar Azam,PSL,2024,11,569,51.73,142.61,7376.65,Balanced
Saud Shakeel,PSL,2024,8,275,34.38,135.47,4656.71,Balanced
Sahibzada Farhan,PSL,2024,8,266,33.25,133.67,4444.47,Balanced
Reeza Hendricks,PSL,2024,8,250,31.25,128.87,4027.06,Balanced
Kieron Pollard,PSL,2024,7,191,27.29,146.92,4008.9,Balanced
Mohammad Rizwan,PSL,2024,12,386,32.17,123.32,3966.88,Balanced
Tim Seifert,PSL,2024,6,174,29.0,135.94,3942.19,Balanced
Shadab Khan,PSL,2024,11,295,26.82,145.32,3897.22,Balanced
Agha Salman,PSL,2024,11,285,25.91,139.71,3619.65,Balanced
Colin Munro,PSL,2024,9,244,27.11,129.79,3518.68,Balanced
Shoaib Malik,PSL,2024,9,244,27.11,115.64,3135.12,Balanced
Rovman Powell,PSL,2024,11,224,20.36,149.33,3040.97,Balanced
Irfan Khan,PSL,2024,7,145,20.71,145.0,3003.57,Balanced
Yasir Khan,PSL,2024,7,164,23.43,125.19,2933.04,Balanced
James Vince,PSL,2024,9,214,23.78,121.59,2891.16,Balanced
Fakhar Zaman,PSL,2024,8,157,19.63,115.44,2265.53,Balanced
Khawaja Nafay,PSL,2024,8,141,17.63,125.89,2218.86,Balanced
Akeal Hosein,PSL,2024,6,90,15.0,138.46,2076.92,Balanced
Imad Wasim,PSL,2024,8,126,15.75,131.25,2067.19,Balanced
Mohammad Haris,PSL,2024,10,142,14.2,132.71,1884.49,Balanced
Haseebullah Khan,PSL,2024,6,78,13.0,136.84,1778.95,Balanced
Asif Ali,PSL,2024,6,72,12.0,141.18,1694.12,Balanced
Tom Kohler-Cadmore,PSL,2024,8,121,15.13,110.0,1663.75,Balanced
Faheem Ashraf,PSL,2024,8,100,12.5,129.87,1623.38,Balanced
Shan Masood,PSL,2024,9,131,14.56,109.17,1588.98,Balanced
Sikandar Raza,PSL,2024,8,91,11.38,133.82,1522.24,Balanced
Rilee Rossouw,PSL,2024,8,110,13.75,100.92,1387.61,Balanced
Alex Hales,PSL,2024,9,101,11.22,120.24,1349.34,Balanced
Khushdil Shah,PSL,2024,8,67,8.38,128.85,1079.09,Balanced
Luke Wood,PSL,2024,6,41,6.83,136.67,933.89,Balanced
Hasan Ali,PSL,2024,6,37,6.17,137.04,845.06,Balanced
